path,dataset,geography,period,description,access
public/tfl/AnnualisedEntryExit_2019.csv,TfL annualised station activity,Station,2019,Public station activity used as the pre-pandemic weekday-pattern baseline,Included
public/tfl/AC2023_AnnualisedEntryExit.csv,TfL annualised station activity,Station,2023,Public station activity used in post-pandemic comparison,Included
public/tfl/AC2024_AnnualisedEntryExit_Public.csv,TfL annualised station activity,Station,2024,Public station activity used in post-pandemic comparison,Included
public/tfl/AC2025_AnnualisedEntryExit_public.csv,TfL annualised station activity,Station,2025,Public station activity used in post-pandemic comparison,Included
public/ons/ODWP01EW_MSOA.csv.gz,ONS Census origin-destination commuting flows,MSOA to MSOA,2021 Census,Complete compressed commuting-flow matrix used to construct residential-origin exposure,Included
public/ons/ODWP01EW_LTLA.csv.gz,ONS Census origin-destination commuting flows,LAD to LAD,2021 Census,Complete compressed local-authority commuting table used in legacy mapping checks,Included
public/boundaries/London_Office_Markets_V1.geojson,London office-market polygons,Polygon,Static,Public office-submarket geometry used to define the five core submarkets,Included
public/boundaries/Underground_Stations.geojson,London Underground station points,Point,Static,Public station geometry used in spatial matching,Included
public/boundaries/Local_Authority_Districts_May_2024_Boundaries_UK_BGC.geojson,ONS local-authority boundaries,Polygon,May 2024,Public LAD geometry used for contextual mapping and legacy aggregation,Included
public/boundaries/london_msoa_2021_boundaries.geojson,ONS London MSOA boundaries,Polygon,2021 geography,Public MSOA geometry used for spatial assignment and mapping,Included
public/openlocal/openlocal_msoa_annual_retail_indicators_2019_2025.csv,OpenLocal annual retail indicators,MSOA,2019 and 2023-2025,Study-scope annual retail unit count floorspace rateable value and occupation-based vacancy proxy,Included analysis table
public/openlocal/openlocal_msoa_retail_yearly_change_from_2019.csv,OpenLocal yearly retail change,MSOA-year,2023-2025 relative to 2019,Study-scope annual retail change indicators,Included analysis table
public/openlocal/openlocal_msoa_retail_2023_2025_mean_change_from_2019.csv,OpenLocal mean retail change,MSOA,2023-2025 mean relative to 2019,Study-scope retail outcomes used in the residential-origin analysis,Included analysis table
public/openlocal/openlocal_msoa_annual_office_indicators_2019_2025.csv,OpenLocal annual office indicators,MSOA-year,2019 and 2023-2025,Office stock unit-size floorspace value and occupation indicators in five office submarkets,Included analysis table
public/openlocal/openlocal_office_adjustment_panel_2019_2025.csv,OpenLocal office adjustment panel,MSOA-year,2023-2025 relative to 2019,Office adjustment components fragmentation and persistent-large-office measures,Included analysis table
derived/tfl_all_station_commuter_shock.csv,Derived TfL commuter-demand shock,Station,2019 and 2023-2025,Reproducible station ratios annual deficits cumulative shock score and ranking generated by Notebook 01,Generated and included
derived/tfl_top100_commuter_shock_stations.csv,Derived TfL Top-100 stations,Station,2019 and 2023-2025,Top-100 affected stations with commuter-demand shock fields ranking and WKT point geometry generated by Notebook 01,Generated and included
derived/tfl_all_station_commuter_shock.geojson,Derived TfL commuter-demand shock geometry,Station,2019 and 2023-2025,GeoJSON version of the reproducible all-station shock table,Generated and included
derived/tfl_top100_commuter_shock_stations.geojson,Derived TfL Top-100 station geometry,Station,2019 and 2023-2025,GeoJSON version of the reproducible Top-100 station table,Generated and included
derived/objective1_workplace_openlocal_msoa_year.csv,Public Objective 1 workplace panel,MSOA-year,2019 and 2023-2025,OpenLocal outcomes combined with public TfL shock and office-submarket assignment,Generated and included
derived/objective1_workplace_openlocal_change_panel.csv,Public Objective 1 workplace change panel,MSOA-year,2023-2025 relative to 2019,OpenLocal workplace outcomes and baseline-relative changes,Generated and included
derived/objective1_selected_workplace_stations.csv,Selected Objective 1 workplace stations,Station,2019 and 2023-2025,Top-100 stations retained by the five-submarket and 500 m rule,Generated and included
derived/objective1_selected_workplace_msoa_targets.csv,Selected Objective 1 workplace MSOAs,MSOA,2019 and 2023-2025,Workplace MSOAs and activity-weighted commuter-demand shock,Generated and included
derived/objective1_residential_msoa_exposure.csv,Objective 1 residential exposure,MSOA,2021 commuting structure weighted by 2019 and 2023-2025 shock,Residential exposure constructed from ONS MSOA flows and selected workplace shock,Generated and included
external/openlocal/openlocal_property_level.parquet,OpenLocal full property-level source,Property-quarter,2019 Q1-2025 Q4,Original source required for property assignment postcode reconciliation and alternative record-level indicators,Not included; download from https://openlocal.uk/ or set OPENLOCAL_PROPERTY_FILE
external/greenstreet/authorised_files,Green Street retail data,Property and aggregate geographies,2019-2025,Commercially safeguarded consumer-facing retail data,Not included; authorised academic access through GeoDS only
